0,1,2,3,4,5,6,7
0.3503468,0.2411656,0.1933133,0.2172011,0.2536405,0.1773045,0.2259045,0.2093336
0.1376751,0.11566,0.1178522,0.1352952,0.1471649,0.1252398,0.09548186,0.1173815
0.1963486,0.1101593,0.1062036,0.1090529,0.08384112,0.1218041,0.161986,0.1032138
0.1920121,0.1452409,0.1187844,0.1110538,0.1424813,0.1458401,0.09658653,0.139149
0.183739,0.148489,0.137858,0.1079005,0.1819342,0.1229757,0.105909,0.09262378
0.2066766,0.1309482,0.1128801,0.1009326,0.1241288,0.1511764,0.1009755,0.1388255
0.2107242,0.1673398,0.156638,0.1273059,0.1170712,0.1123967,0.09532424,0.1047192
0.2216863,0.1484091,0.1229123,0.1199334,0.1756234,0.1239206,0.1126953,0.1339912
0.2323919,0.1514646,0.1372638,0.1018488,0.1510261,0.1287951,0.1354931,0.1422451
0.2381023,0.1338574,0.1200686,0.1146669,0.1076718,0.1238903,0.1208623,0.1020068
0.1666612,0.1274887,0.1213342,0.1192024,0.1252258,0.1302914,0.1030354,0.1130219
0.1817099,0.1276477,0.1329113,0.09804724,0.1134441,0.1336407,0.1534185,0.1005888
0.1894805,0.1591041,0.111704,0.1148695,0.1257041,0.1658334,0.1286123,0.1151451
0.2065301,0.1400589,0.1119054,0.142339,0.1725711,0.1155369,0.1417367,0.1364335
0.2139234,0.1285621,0.1158116,0.1420084,0.1226494,0.1189296,0.1335882,0.1030444
0.1773984,0.122928,0.1222383,0.1252201,0.1456637,0.1149825,0.1357854,0.1136741
0.1565175,0.1479373,0.106772,0.1306099,0.123782,0.1297882,0.1418542,0.1487667
0.188026,0.1266552,0.09642212,0.109574,0.1567264,0.144125,0.1120747,0.09379268
0.1999615,0.1408262,0.1142175,0.09965235,0.1958654,0.1275065,0.1088031,0.08722411
0.1911287,0.1309413,0.116997,0.1358273,0.1964917,0.1628132,0.1005733,0.1080963
0.2177005,0.1813269,0.1157161,0.1431231,0.1388326,0.1171918,0.09346979,0.09785324
,0.1361405,0.1212268,0.1250475,0.1731432,0.1227433,0.1847936,0.09791029
,0.1146109,0.1178815,0.1352259,0.1400891,0.1146765,0.1548055,0.1101743
,0.1297465,0.115391,0.1549988,0.1531483,0.1309671,0.2129415,0.1062667
,0.1084582,0.1094943,0.1297271,0.1359737,0.1134648,0.133019,0.112494
,0.1317996,0.1253924,0.1109548,0.186855,0.1292526,0.1415752,0.1112246
,0.1289868,0.1201327,0.1178803,0.1571641,0.1175709,0.09671089,0.1053454
,0.1641848,0.1028843,0.121534,0.1282253,0.1149521,0.1095753,0.1314294
,0.133083,0.1794269,0.1661973,0.2066358,0.1078011,0.1178468,0.1164834
,0.1299528,0.1189561,0.1360396,0.1454286,0.1804466,0.1017524,0.09938746
,0.1394565,0.09977009,0.1447266,0.1623417,0.1078992,0.09335708,0.100371
,0.1139946,0.1170041,0.1328507,0.1592545,0.1416032,0.09310904,0.09613878
,0.2054257,0.1333086,0.1167196,0.1450547,0.1006974,0.1094702,0.1045788
,0.1379555,0.1005067,0.09645809,0.1223544,0.1316632,0.1047451,0.1053611
,0.2251375,0.09715438,0.1597995,0.1397821,0.129079,0.1010084,0.1262777
,0.1287388,0.1956049,0.1332572,0.1490349,0.1403687,0.1288399,0.1220566
,0.1436626,0.106792,0.1156299,0.1796703,0.1204693,0.09224333,0.1078384
,0.1767104,0.110907,0.1359142,0.1268694,0.1056593,0.1121906,0.1082796
,0.129173,0.1157523,0.09950668,0.1293783,0.1213734,0.09078889,0.09826022
,0.1863487,0.12319,0.1084794,0.1317304,0.1216006,0.1466453,0.1489219
,0.163031,0.1102313,0.1081413,0.1228943,0.136888,0.1123978,0.1571193
,0.1645794,0.1144907,0.09604488,0.1127825,0.186129,0.1147642,0.136173
,0.195366,0.1168629,0.1195919,0.1704187,0.1976643,0.1330078,0.108132
,0.1602131,0.1102426,0.1382569,0.1105692,0.1105015,0.117776,0.1331755
,0.1607615,0.1240913,0.1665554,0.1547958,0.1109342,0.1296786,0.1065105
,0.1821211,0.13519,0.1185603,0.1646543,0.1547728,0.105916,0.1226554
,0.1895873,0.1185902,0.1228574,0.1480795,0.1317337,0.1332797,0.104255
,0.1921119,0.1476452,0.1475059,0.1538521,0.1168093,0.1020734,0.1082848
,0.1628461,0.1560454,0.1133785,0.1700699,0.1578951,0.1144047,0.1139916
,0.1733255,0.156472,0.1061417,0.1891427,0.1556825,0.1177105,0.1125422
,0.1680354,0.1257578,0.1143347,0.1378496,0.120302,0.1031376,0.1561316
,0.1493346,0.1332169,0.1098053,0.1276767,0.1484282,0.1322842,0.1130199
,0.1844329,0.1663086,0.1157918,0.1324529,0.1145053,0.1491126,0.1064861
,0.1708926,0.1062396,0.1018751,0.1968318,0.1440805,0.1302182,0.1124846
,0.1747428,0.1221307,0.1636117,0.1266375,0.1306024,0.1464217,0.1139491
,0.192952,0.1647518,0.1390473,0.1501077,0.1615389,0.1040375,0.1398128
,0.1995661,0.11784,0.11052,0.1089797,0.1357177,0.1074891,0.1109306
,0.1502939,0.1135606,0.1455599,0.1451857,0.122952,0.1315596,0.1020631
,0.1741887,0.1321912,0.1066281,0.1344307,0.1452251,0.2558546,0.1169086
,0.1450233,0.1244673,0.1157683,0.1579799,0.1519279,0.1691878,0.1107386
,0.1753598,0.1236448,0.126451,0.1201113,0.1617716,0.1194432,0.1273977
,0.1545127,0.1119748,0.2059173,0.1419162,0.1191028,0.1128101,0.1158587
,0.1453034,0.1325637,0.1275059,0.1339301,0.14903,0.1070649,0.1271034
,0.162659,0.1162154,0.1388088,0.1353755,0.1172501,0.1409829,0.09593388
,0.1374933,0.1012328,0.1437095,0.133943,0.1104994,0.1087132,0.09113617
,0.1449513,0.1016281,0.1149518,0.14007,0.1421355,0.116038,0.1161455
,0.1848833,0.1175628,0.1207315,0.126849,0.1425392,0.1105853,0.08859315
,0.1853414,0.1309535,0.1150739,0.1392403,0.148131,0.1080031,0.09793127
,0.1834349,0.09929291,0.1325421,0.149146,0.1220343,0.1097641,0.1005612
,0.1819002,0.1235558,0.1226531,0.1357588,0.1135579,0.1315385,0.1037137
,0.1849598,0.1117245,0.132328,0.1016442,0.1110192,0.1518464,0.1173044
,0.1810903,0.1091218,0.104702,0.103961,0.1199557,0.154699,0.1140478
,0.1617258,0.1296061,0.1152012,0.1556428,0.1180302,0.1347057,0.08777212
,0.2123657,0.1220675,0.1207412,0.1301005,0.111664,0.1361279,0.1405951
,0.1593191,0.1151865,0.1278821,0.1572998,0.1225904,0.1176098,0.1127599
,0.1653162,0.1406814,0.1259835,0.1433428,0.1384564,0.1111791,0.09430599
,0.2039138,0.1188276,0.1265072,0.1589213,0.1004547,0.1298072,0.1580106
,0.1618806,0.1178125,0.1067346,0.1330365,0.1185196,0.1255057,0.09866975
,0.1698133,0.12979,0.1087404,0.1151619,0.1246794,0.1167413,0.09760721
,0.1746671,0.1192914,0.1031395,0.1455809,0.1275895,0.2091673,0.14319
,0.2391709,0.1442964,0.1147533,0.1419947,0.1409559,0.1050931,0.1150941
,0.1667,0.1582025,0.1008226,0.1591299,0.1417955,0.1181189,0.1009203
,0.3888088,0.1096598,0.1022413,0.1076324,0.1300274,0.1346698,0.1001001
,0.1688371,0.1097299,0.1121339,0.1493908,0.1163366,0.1142682,0.1068667
,0.1577342,0.1394449,0.1089126,0.1906187,0.1322844,0.1179566,0.1451806
,0.1721385,0.1240517,0.1182911,0.1953219,0.1173717,0.1336317,0.1341205
,0.1636773,0.118714,0.1080442,0.1527446,0.127446,0.09569185,0.1574741
,0.1568755,0.1016994,0.1441517,0.1430166,0.1353235,0.1241587,0.1072876
,0.1778184,0.1051653,0.1161294,0.1449447,0.1326881,0.1259163,0.1172732
,0.1676836,0.1017454,0.1046562,0.1282175,0.1275377,0.1304997,0.1531276
,0.1466198,0.1202912,0.0977827,0.1820639,0.1559359,0.1364105,0.1418731
,0.1571432,0.144458,0.1157082,0.139818,0.1061697,0.1013788,0.1071018
,0.1442822,0.105748,0.1373817,0.1174537,0.1764981,0.1799929,0.120588
,0.1651216,0.1248371,0.1658495,0.1872066,0.09846104,0.1536517,0.08865804
,0.1682949,0.1236911,0.104852,0.1448333,0.1264389,0.1246902,0.1031167
,0.1753726,0.106668,0.1299959,0.1582128,0.1183802,0.1072379,0.1174741
,0.1873683,0.1194031,0.1255046,0.1186373,0.1162455,0.1558823,0.1124575
,0.1802735,0.1125313,0.1395135,0.1463283,0.1178048,0.09553398,0.09202426
,0.247011,0.1193958,0.1348705,0.1262632,0.1087992,0.1202268,0.1496735
,0.2092578,0.1316881,0.1046331,0.1329324,0.1161154,0.1260014,0.1215464
,0.162122,0.1177147,0.1271184,0.1407705,0.108865,0.1858888,0.1042354
,0.2439007,0.1315642,0.09819952,0.1411549,0.1686699,0.138434,0.1360698
,0.1619421,0.1171564,0.1220158,0.1324904,0.1239886,0.1046055,0.115397
,0.1553186,0.1107702,0.110081,0.1813249,0.1344068,0.1341267,0.114592
,0.1563215,0.141382,0.1652105,0.1517075,0.117495,0.1323757,0.103269
,0.1606128,0.1519214,0.1354017,0.1604226,0.1229573,0.1074309,0.1422947
,0.1914245,0.1042457,0.1179212,0.1323929,0.1472084,0.1170496,0.1475155
,0.1778109,0.1119039,0.1171377,0.1303839,0.1459643,0.1303724,0.1102157
,0.2165807,0.150133,0.1253759,0.1262373,0.1294314,0.126676,0.09942951
,0.1671209,0.1225441,0.1301964,0.1245613,0.1403559,0.1470976,0.1393025
,0.1976989,0.1082864,0.1371731,0.1107776,0.1827915,0.114644,0.1055275
,0.179259,0.1334439,0.1364659,0.1099746,0.1091736,0.1115359,0.1116133
,0.180116,0.1616947,0.1325622,0.123492,0.202437,0.1340859,0.11104
,0.1602128,0.1280308,0.23795,0.2075641,0.1335044,0.1056491,0.1614461
,0.141502,0.1313314,0.1833399,0.1154905,0.1081424,0.1388134,0.1061795
,0.1666526,0.1497132,0.1241196,0.1576068,0.1659932,0.111536,0.14253
,0.1698306,0.1287814,0.1272361,0.1281197,0.126985,0.160492,0.09010717
,0.1681714,0.1607323,0.1077143,0.1076536,0.104629,0.1071502,0.1057405
,0.164964,0.120521,0.1163572,0.1402491,0.1383188,0.1464225,0.1391993
,0.1463587,0.1348051,0.1183482,0.1505518,0.1191021,0.1297459,0.1002004
,0.1985401,0.1260309,0.1072775,0.1112107,0.1205429,0.1516998,0.1076707
,0.1594973,0.1153653,0.1276354,0.144746,0.1201339,0.1110108,0.1196976
,0.1724497,0.1116426,0.1365604,0.1217622,0.1260379,0.1311239,0.1145253
,0.1673915,0.1167638,0.1233413,0.1004022,0.126273,0.09785861,0.09906274
,0.1516471,0.1129031,0.1507269,0.1434552,0.1167874,0.1177752,0.1250794
,0.188331,0.1504166,0.1621893,0.1445695,0.1516631,0.1275837,0.1248536
,0.1861802,0.1133308,0.1917512,0.1015441,0.1200906,0.1062695,0.1094822
,0.172833,0.1397054,0.1068841,0.1540368,0.1414552,0.1146368,0.08776473
,0.1481461,0.1267859,0.1196598,0.1314576,0.1214505,0.1413416,0.1123244
,0.2225418,0.1296182,0.1483051,0.131488,0.1225177,0.1140832,0.1046385
,0.2066237,0.1065013,0.11407,0.187747,0.1148472,0.1297999,0.1860417
,0.2023523,0.1441541,0.1461714,0.1500453,0.1974344,0.1173056,0.106771
,0.2029723,0.1344185,0.1642289,0.1273525,0.1533169,0.1318836,0.119658
,0.1743415,0.1152696,0.1225628,0.1527272,0.1474408,0.1284433,0.1113654
,0.2192596,0.120396,0.1266797,0.1704535,0.124074,0.1280358,0.1468254
,0.1986939,0.1296178,0.1220912,0.1508191,0.1211839,0.1286126,0.09727407
,0.1859541,0.1326454,0.1308883,0.115581,0.1421062,0.1439125,0.1343694
,0.2105329,0.1588375,0.163694,0.119543,0.1124149,0.1157673,0.1324527
,0.1734346,0.1257464,0.1249309,0.167054,0.1426957,0.1196645,0.1249831
,0.1747183,0.1161466,0.1082397,0.1217272,0.138834,0.1546312,0.1115037
,0.1788305,0.1185894,0.1631376,0.1911983,0.1364277,0.1022301,0.1240182
,0.1972525,0.09923658,0.1120223,0.1268239,0.1120612,0.09293407,0.1226417
,0.1934146,0.09990765,0.1259325,0.1575802,0.1699307,0.1441623,0.1122247
,0.1658994,0.1089902,0.1263111,0.1737904,0.1729768,0.1178832,0.1243335
