0,1,2,3,4,5,6,7
0.4087631,0.5975516,0.4019378,0.5411714,0.5084835,0.3445903,0.3923712,0.5292505
0.1729923,0.1087332,0.1017795,0.1216779,0.08394275,0.1416075,0.1042837,0.09669705
0.1453489,0.1010434,0.1158806,0.1011125,0.154801,0.1389886,0.1401187,0.09089513
0.2101307,0.1188242,0.1154121,0.1239969,0.1094769,0.1038389,0.09158675,0.1484641
0.2323388,0.1137495,0.09761594,0.1021816,0.1101416,0.09338149,0.09523674,0.07996475
0.3015419,0.1191587,0.1195043,0.1119878,0.1229847,0.09085855,0.1014275,0.08718148
0.1988064,0.1034753,0.111697,0.098703,0.1199588,0.1048001,0.1105882,0.1238514
0.2799495,0.1357032,0.09562425,0.1083731,0.1222357,0.1584398,0.09627438,0.09611214
0.2926972,0.1288388,0.1087028,0.1484751,0.1045698,0.127757,0.1156033,0.08133931
0.1960582,0.1238068,0.1065008,0.1174909,0.09856992,0.1023411,0.1279821,0.09435773
0.2232977,0.1386349,0.1027002,0.137061,0.08690376,0.09542563,0.1183447,0.1173767
0.1910752,0.1139517,0.1608577,0.1010429,0.1378047,0.1277503,0.166576,0.09708315
0.1569705,0.1092133,0.1191459,0.116113,0.1190344,0.1119844,0.09600753,0.08855094
0.2156218,0.1109308,0.09520956,0.1000953,0.126774,0.1033922,0.1031109,0.1459761
0.1552653,0.1114717,0.1151452,0.1168019,0.1309854,0.1468684,0.1005253,0.0823678
0.2214929,0.1274063,0.1049708,0.1414831,0.1227732,0.1426143,0.1077714,0.09160915
0.1803851,0.1263916,0.09758328,0.1250872,0.1257715,0.1593318,0.09477276,0.1027964
0.1806789,0.1102624,0.09671006,0.1156279,0.112388,0.1054643,0.1268984,0.09566325
0.2243174,0.1052612,0.0873392,0.1878057,0.1233174,0.1037682,0.121587,0.1449026
0.2400099,0.1284467,0.1012875,0.1204444,0.09818335,0.1088126,0.1072197,0.1052736
0.2323381,0.1362091,0.0939219,0.1015243,0.1061802,0.1011777,0.1242973,0.0972777
,0.1108037,0.09894989,0.1174718,0.1222033,0.2000925,0.1168848,0.09615742
,0.1248756,0.0843949,0.1165155,0.1155576,0.1226653,0.1000523,0.08977169
,0.1324184,0.1073211,0.1078718,0.09819305,0.1108134,0.1101267,0.09431062
,0.1021715,0.1029111,0.1044466,0.1291498,0.1060759,0.1185751,0.1008835
,0.1338729,0.09969375,0.1122068,0.1076469,0.1419095,0.1257603,0.1219862
,0.132429,0.08866885,0.1060741,0.1045374,0.1077546,0.1556517,0.1381616
,0.09676567,0.1164976,0.143296,0.1244253,0.1165302,0.0902243,0.08801804
,0.1348669,0.09797512,0.1167779,0.1233375,0.108726,0.0893221,0.1063506
,0.1184765,0.08439041,0.1212923,0.1042083,0.1038936,0.1155148,0.09083253
,0.116295,0.1219885,0.09349959,0.09541724,0.1396628,0.1044933,0.1173901
,0.1221373,0.08968446,0.1026286,0.1170817,0.1379625,0.0872374,0.09853483
,0.1542455,0.100589,0.1048796,0.1272293,0.1436504,0.1117011,0.08565985
,0.1101748,0.1004676,0.1162452,0.1193377,0.1025069,0.1314913,0.09458582
,0.1181243,0.1127024,0.1231027,0.1295486,0.1324601,0.1328656,0.112426
,0.1020232,0.1045207,0.1114284,0.1256548,0.1402414,0.1280914,0.09737985
,0.1086654,0.1502718,0.1033729,0.122111,0.1131348,0.1141107,0.08918134
,0.1357939,0.09381204,0.1274675,0.1131726,0.1168532,0.09303406,0.105598
,0.1282399,0.1565903,0.1298813,0.09513112,0.1200076,0.1298502,0.09636041
,0.1159863,0.1200485,0.1213153,0.1434074,0.1316069,0.1187562,0.125721
,0.125511,0.09100299,0.1164694,0.1420452,0.107284,0.1096746,0.09938861
,0.104795,0.0972124,0.1220985,0.183875,0.1150618,0.1004324,0.1118613
,0.1070711,0.09668883,0.1187834,0.1361308,0.1021046,0.1071848,0.08432697
,0.1248535,0.1039458,0.1106844,0.1792181,0.1210126,0.1253287,0.09761112
,0.1048388,0.1047269,0.1157813,0.1047179,0.1070579,0.09912301,0.09225043
